filename,pattern_int,character,source
IMG_20190715_112912.labeled_cell0000.png,10,k,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0002.png,8,i,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0004.png,16,q,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0005.png,20,u,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0006.png,10,k,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0007.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0008.png,22,w,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0009.png,18,s,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0010.png,10,k,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0011.png,8,i,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0013.png,16,q,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0014.png,20,u,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0015.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0016.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0018.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0019.png,4,e,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0020.png,17,r,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0021.png,4,e,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0022.png,22,w,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0023.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0024.png,18,s,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0025.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0026.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0027.png,4,e,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0028.png,17,r,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0029.png,9,j,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0030.png,0,a,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0031.png,13,n,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0032.png,8,i,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0033.png,4,e,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0034.png,16,q,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0035.png,20,u,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0036.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0037.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0039.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0040.png,4,e,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0041.png,17,r,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0042.png,4,e,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0043.png,22,w,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0044.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0045.png,10,k,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0046.png,17,r,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0047.png,0,a,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0048.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0049.png,4,e,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0050.png,13,n,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0051.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0052.png,4,e,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0053.png,18,s,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0054.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0055.png,11,l,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0056.png,13,n,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0057.png,2,c,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0058.png,4,e,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0059.png,12,m,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0060.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0062.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0063.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0064.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0066.png,17,r,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0067.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0068.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0069.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0071.png,12,m,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0072.png,8,i,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0073.png,15,p,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0074.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0075.png,17,r,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0076.png,4,e,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0077.png,15,p,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0078.png,17,r,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112912.labeled_cell0079.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0002.png,16,q,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0003.png,20,u,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0004.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0005.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0007.png,16,q,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0008.png,20,u,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0009.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0010.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0012.png,16,q,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0013.png,20,u,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0014.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0015.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0017.png,16,q,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0018.png,20,u,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0019.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0020.png,14,o,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0021.png,17,r,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0022.png,0,a,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0023.png,18,s,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0024.png,16,q,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0025.png,20,u,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0026.png,3,d,datasets/raw_sources/angelina\books\chudo_derevo_redmi
IMG_20190715_112922.labeled_cell0027.png,4,e,datasets/raw_sources/angelina\books\chudo_derevo_redmi
